n,,,Name,alt ,Filename,Tilanne,Kategoria,Kategoria,Sävel,Flag (pd=pos.dup. d=dup. p=perustele),Kommentit,Tarinaa laulukirjaan
,,,365 Days of Vappu,,365_days_of_vappu,todo,väännöt,english,12 Days of Christmas,,"// On the first day of Vappu, my känni gave to mee: One laulukirja // two vergi bottles // three shots of jäeger // four lapin kulta",
,,,500 Miles,,500_miles,todo,english,,,,,
,,a,A Finnish Drinking Song,Introduction to Finnish Partying ,a_finnish_drinking_song,sanat,english,NYT,Suhteellisen rivakka turkulainen juomalaulu,,Parempi nimi???,
,,,Ace of Spades,,ace_of_spades,todo,english,,,,,
,1,a,Aku Ankka,,aku_ankka,sanat,väännöt,lasten,,p,mitä nää akkarivittusaatanat on ,
,,,All Star,,all_star,sanat,english,meme,Smash Mouth,,,
,,,Always Look on the Bright Side of Life,,always_look_on_the_bright_side_of_life,todo,english,,Monty Python,,,
,2,a,Aqua Vera,,aqua_vera,sanatok,oletus,,Alle Vögel sind schon da / Terve teille lintuset,,,
,,,Barbie Girl,,barbie_girl,todo,english,,,,,
,3,a,Bohemian Rhapsody,,bohemian_rhapsody,sanatok,english,,Queen,,,
v,4,a,Brännvin Vatten,"Viinaa, Vettä",brännvin_vatten,sanatok,oletus,,Jeeper creepers / Kissa vieköön,,,
,,,Call Me Maybe,,call_me_maybe,todo,english,,Carly Rae Jepsen,,,
,5,a,De Brevitae Vitae,,de_brevitae_vitae,sanat,kansallistms,,,,,
,,,Dodo sorsa,,dodo_sorsa,todo,biisit,lasten,,,,
,6,a,Drunken Sailor,What Shall we do with the Drunken Sailor,drunken_sailor,sanat,english,,,,,
,7,a,Ei tippa tapa,,ei_tippa_tapa,sanat,biisit,,Juice Leskinen: Ei tippa tapa ,,,
,8,a,Eino Leinon juomalaulu,,eino_leinon_juomalaulu,sanat,oletus,,Te Deum,,,
,9,a,Eurovision juomalaulu,Eurovision,eurovision_juomalaulu,sanat,oletus,,Eurovision tunnari,,,
,,,Eye of the Tiger ,,eye_of_the_tiger,todo,english,,,,,
,10,a,Felix,,felix,sanat,special,paikalliset,,,,Kappale kertoo TKO-älyn 2016 varapuheenjohtajasta nimeltään Felix.
,11,a,Finlandia,,finlandia,sanat,kansallistms,,,,,
,12,a,Finlandssvensk Snapsvisa,,finlandssvensk_snapsvisa,sanat,snapsi,NYT,,,,
,14,a,Gurulah,,gurulah,sanat,väännöt,,,,,
,15,a,Hauki ja viina,,hauki_ja_viina,sanat,oletus,darra,,,,
,16,a,Hei vahtimestari,,hei_vahtimestari,sanat,oletus,,,,,
r,17,a,Helan Gor,,helan_gor,sanat,oletus,,,,,
r+1,18,a,Hell and Gore,,hell_and_gore,sanat,english,,,,,
m<n,19,a,Henkilokunta,,henkilokunta,sanat,oletus,,Inke Pinke Parlevuu / Kiinan pelastusarmeijassa,,,
,,,Hey-song,,hey-song,todo,english,meme,,,,
,20,a,Hypermedialaulu,,hypermedialaulu,sanat,oletus,Kaanon,Sähkö ATK laulu,pd,see lapin kulta canon,
,,,Ievan Polkka,,ievan_polkka,todo,biisit,,,,,
,21,a,Internationaali,,internationaali,sanat,väännöt,,,p,,
,22,a,Internationalen,Mera Brännvin,internationalen,sanat,oletus,,L'Internationale,,,
,23,a,Intian kuu,,intian_kuu,sanat,oletus,,,,,
,24,a,Jallu,,jallu,sanat,väännöt,,Sika,,Sävel: Sika,
,25,a,Jallutähden alla,,jallutähden_alla,sanat,biisit,,Alla pohjantähden,,,
,,,Jallutyttö,,jallutyttö,todo,biisit,,,,,
,26,a,Jaloviinaa,,jaloviinaa,sanat,biisit,,,,,
,27,a,Jarjestoasiantuntijan runtulaulu,,jarjestoasiantuntijan_runtulaulu,sanat,oletus,,Minä soitan harmonikkaa,,,
,,,Jesussoldat,,jesussoldat,todo,usk/pol,,,,,
,28,a,Jos eukkosi kieltää sua juomasta,,jos_eukkosi_kieltää_sua_juomasta,sanat,oletus,,,,,
,,a,Joutsenlaulu,,joutsenlaulu,sanat,biisit,,,,,"Vaikka ongelmia oli jatkuvasti, viimeinen naula kantaan klusterin kunnostautumisessa oli eräs arkiaamupäiväinen Joutsenlaulu-Singstar suoritus. "
,29,a,Juodaan viinaa,,juodaan_viinaa,sanat,biisit,,,,,
,30,a,Juomalaulu,,juomalaulu,poistetaan,,,,d,onkos tullut kesä,
,,,Kahvimaitoa,,kahvimaitoa,todo,biisit,,Arttu Wiskari,,,
,31,a,Kaks kisälliä,,kaks_kisälliä,sanat,väännöt,,,,,
,32,a,Kalliolle Kumpulamme,,kalliolle_kumpulamme,sanat,väännöt,,,,,
,33,a,Kalmarevisan,,kalmarevisan,sanat,snapsi,,,,,
,34,a,Kansainvälinen,,kansainvälinen,sanat,usk/pol,,,,,
,-,a,Kansallislaulu,Maamme,kansallislaulu,ei,kansallistms,,,,"// laitetaan tän nimen alle Sandstorm, ja Maamme alle oikea",
,35,a,Karhuviinaa,,karhuviinaa,sanat,oletus,lasten,,,,
n,36,a,Ken on fuksi,ken onpi fuksi,ken_on_fuksi,sanat,special,,,,,
,,a,Kirkossa,,kirkossa,sanat,,,,,,
,37,a,Klurre kädelläsi,,klurre_kädelläsi,sanat,väännöt,paikalliset,Herra kädelläsi,,,
,38,a,Klusterilainen,,klusterilainen,sanat,????,paikalliset,,,,
,39,a,Ko-Ko-Ko-Koskenkorvaa,,ko-ko-ko-koskenkorvaa,sanat,oletus,,,,Mitkä kaikki säkeet // ei inttisäkeitä :DD ,
,40,a,Koff,,koff,sanat,väännöt,,,,,
,41,a,Koodaillaan,,koodaillaan,sanat,väännöt,,Hengaillaan,,,
,42,a,Koska meitä käsketään,,koska_meitä_käsketään,sanat,????,,Tuiki tuiki tähtönen,,,
,43,a,Krimin kriisi,,krimin_kriisi,sanat,väännöt,,Unkarin Viini,p,Onks tää niiku lääst siison ,
,44,a,Kun mä kuolen,,kun_mä_kuolen,sanat,leikit,lasten,,,,
,45,a,Lapin Kulta kaanon,Olutkaanon,lapin_kulta_kaanon,sanat,oletus,Kaanon,Ölvisa,,,
,46,a,Lapsuuden toverille,,lapsuuden_toverille,sanat,neidot,,,p,,
,49,a,Lärvit,,lärvit,sanat,oletus,,Star Wars: Imperial March,,,
,47,a,Lasi täyttyy oluesta,,lasi_täyttyy_oluesta,sanat,väännöt,,,,,
,48,a,Laulu Uudelle,,laulu_uudelle,sanat,väännöt,,Mombasa,,,
,,,Leikkaamaan,,leikkaamaan,todo,usk/pol,,säv. Baarikäpänen & san. Julius,,,HYY:n sitsilaulukilpailun voittaja 2016
,,,Lenin-Setä asuu Venäjällä,,lenin-setä_asuu_venäjällä,todo,usk/pol,,,,,
,50,a,Leppätalo,,leppätalo,sanat,väännöt,,Täti Monika,,,
,51,a,Leukojen välliin,,leukojen_välliin,sanat,oletus,,Karjalan poikia,,,
,52,a,Livet Är Härligt,,livet_är_härligt,sanat,oletus,,Kasakkapartio,,,
,,,Living on a Prayer,,living_on_a_prayer,todo,english,,Bon Jovi,,,
,53,a,Luonnontieteilijän uni,,luonnontieteilijän_uni,sanat,special,,Sininen uni,,,
,54,a,Luukkaisen poika,,luukkaisen_poika,sanat,väännöt,,,,Tarvitsee kirjoittaa myös Artolle biisi,
,,,Maija,,maija,todo,biisit,,Kliff,,,
,55,a,Meksikon pikapano,,meksikon_pikapano,sanat,väännöt,,Meksikon pikajuna,,hieman pitkä ja ehkä kiusallinen,
,56,a,Mielihaluja,Silja Line Special,mielihaluja,sanat,oletus,,Un homme et une femme,,,
,,,Minä soitan harmonikkaa,,minä_soitan_harmonikkaa,todo,biisit,lasten,,,,
,57,a,Minnet,,minnet,sanat,oletus,,Memory,,,
,58,a,Minun juomani kossu on,,minun_juomani_kossu_on,sanat,väännöt,,,,,
,,,Mökkitie,,mökkitie,todo,biisit,,Arttu Wiskari,,,
,59,a,Muinaisten valssi,Norppa ja kultisti,muinaisten_valssi,sanat,väännöt,,Vanhojapoikia viiksekkäitä,,,
,60,a,Murheellisten bittien maa,,murheellisten_bittien_maa,sanat,väännöt,,Murheellisten laulujen maa,,,
,,,Mysterious Ticking Noise ,,mysterious_ticking_noise,todo,english,,,,,
,61,a,Nämä lääkkeet,,nämä_lääkkeet,sanat,????,,,p,,
,62,a,Neuvostoliiton hymni,,neuvostoliiton_hymni,sanat,usk/pol,,,,,
,,,Never Gonna Give You Up,,never_gonna_give_you_up,todo,english,meme,Rick Astley,,,
,63,a,Niin minä neitonen sinulle laulan,,niin_minä_neitonen_sinulle_laulan,miksi,neidot,,,p,tarviiks tälläsii lääkisseksismihömpötyksiä,
,64,a,Nisti ja Noori,,nisti_ja_noori,sanat,väännöt,,Päivänsäde ja menninkäinen,,,
,65,a,No onkos tullut kesä,,no_onkos_tullut_kesä,sanat,oletus,,,,tarkista onks kaikki säkeistöt,
,66,a,Nocturne,,nocturne,sanat,neidot,,,p,,
,,,Numa Numa,,numa_numa,todo,english,meme,,,,
,,,Nyt ryypätään,,nyt_ryypätään,todo,perus,,O tannebaum,,sanat matlulta,
,67,a,Olutkaanon,,olutkaanon,poistetaan,pois,kaanon,,,see hypermedia,
,68,a,Ölvisa,,ölvisa,sanat,snapsi,kaanon,Jaakko-kulta,,// sama ku muut kaanonit mut ruotsiks vittu,
,69,a,Oman kullan silmät,,oman_kullan_silmät,sanat,neidot,,,p,,
,70,a,Onomatopoeettinen alkoholiliike,,onomatopoeettinen_alkoholiliike,sanat,leikit,lasten,,,Jussi säkeistö must,
,,,Oodi sitoutumattomille,,oodi_sitoutumattomille,todo,usk/pol,,todo ,,Tai se MATLUN kirjotettu ,
,71,a,Paavi ja Sulttaani,,paavi_ja_sulttaani,sanat,oletus,,,,,
,72,a,Pienet käärmeet,,pienet_käärmeet,sanat,oletus,lasten,Kuningaskobra,,,
,73,a,Pienet konjakit,,pienet_konjakit,sanat,väännöt,lasten,,p,,
,74,a,Pikkukakkosen posti,,pikkukakkosen_posti,sanat,oletus,lasten,,,,
,,,Pohjois Karjalaan,,pohjois_karjalaan,sanat,biisit,,,,Eeppisin sitsilaulu,
,,,Pokémon teema,,pokémon_teema,todo,perus,lasten,,,,
,,,Pokémon Theme ,,pokémon_theme,todo,english,lasten,,,,
,75,a,Puheenjohtajan juomalaulu,,puheenjohtajan_juomalaulu,sanat,oletus,NYT,Finlandssvensk Snapvisa,,,
,76,a,Pumppulaulu,,pumppulaulu,sanat,leikit/kamalat,,,,,
,77,a,Punschen Kommer,,punschen_kommer,sanat,snapsi,,,,,
,,,Puuttuva palanen,,puuttuva_palanen,todo,biisit,,,,,
,78,a,Raittiuslaulu,,raittiuslaulu,sanat,????,,,p,,
,,,Rakaistuin mä klusteriin,,rakaistuin_mä_klusteriin,todo,väännöt,,säv. Rakastuin mä luuseriin & san. Sakari Väkevä,,,HYY:n sitsilaulukilpailun voittaja 2015
,79,a,Rakenteisiin asti,,rakenteisiin_asti,sanat,väännöt,paikalliset,Kulkuset,,"Ei välttämättä, pitää tarkistaa","Vuosijuhlajatkoilla 2015 kävi inhimillinen tapaus, jonka johdosta oksennusta päätyi sohvalle. Asia päätettiin hoitaa aamulla. Tilan vuokraaja ilmoitti että oksennus oli päässyt sohvan rakenteisiin asti, ja hinattu jo kaatopaikalle. Yritys toimitti XXXX€ laskun, eikä suostunut antaa tai näyttää sohvaa järjestölle. "
,,,Rati riti ralla,,rati_riti_ralla,todo,perus,lasten,Rati riti ralla,,,
,80,a,Romanssi,,romanssi,sanat,neidot,,,p,,
,81,a,Rosvo Roope,,rosvo_roope,sanat,väännöt,lasten,,,,
,82,a,Ryyppää vaan,,ryyppää_vaan,sanat,oletus,,,,,
,84,a,Ryyppy saapuu,,ryyppy_saapuu,sanat,väännöt,,Punchen Kommer,p,,
,86,a,Sähkö ATK laulu,,sähkö_atk_laulu,sanat,????,kaanon,Lapin Kulta kaanon,pd,onks tää hypermedia tms ,
,,,Sandstorm,Kansallislaulu,sandstorm,todo,special,,,,,
,,,Sauna Nokia,,sauna_nokia,todo,biisit,meme,,,,
